"Nombre de ménages fiscaux en 2021";"15601";"10651";"18554";"23815";"21822";"19774";"17888";"37643";"32459";"25037";"23130";"27559";"35365";"20326";"26804";"6595";
"Part des ménages fiscaux imposés en 2021, en %";"39";"40";"24";"47";"48";"56";"61";"64";"60";"48";"52";"61";"46";"31";"28";"44";
"Médiane du revenu disponible par unité de consommation en 2021, en euros";"16530";"16390";"13530";"20220";"20740";"24150";"26900";"27420";"24450";"20440";"22400";"25680";"19930";"15420";"14890";"19690";
"Taux de pauvreté en 2021, en %";"38";"39";"52";"24";"23";"18";"13";"12";"15";"23";"19";"13";"27";"42";"44";"25";
"Avertissement : Pour des raisons de secret statistique, certains indicateurs peuvent ne pas être renseignés. A cause de l'absence de données de certains DOM, le niveau France n'est pas disponible (voir les données niveau France métropolitaine).";
"Sources : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localisé social et fiscal en géographie au 01/01/2024";
"";
"Emploi - Chômage au sens du recensement";"Commune : Marseille 1er Arrondissement (13201)";"Commune : Marseille 2e Arrondissement (13202)";"Commune : Marseille 3e Arrondissement (13203)";"Commune : Marseille 4e Arrondissement (13204)";"Commune : Marseille 5e Arrondissement (13205)";"Commune : Marseille 6e Arrondissement (13206)";"Commune : Marseille 7e Arrondissement (13207)";"Commune : Marseille 8e Arrondissement (13208)";"Commune : Marseille 9e Arrondissement (13209)";"Commune : Marseille 10e Arrondissement (13210)";"Commune : Marseille 11e Arrondissement (13211)";"Commune : Marseille 12e Arrondissement (13212)";"Commune : Marseille 13e Arrondissement (13213)";"Commune : Marseille 14e Arrondissement (13214)";"Commune : Marseille 15e Arrondissement (13215)";"Commune : Marseille 16e Arrondissement (13216)";
"Emploi total (salarié et non salarié) au lieu de travail en 2021";"23251";"25515";"19910";"14818";"21887";"22837";"12798";"38261";"30420";"20906";"21038";"18313";"33138";"18833";"28580";"8605";
"dont part de l'emploi salarié au lieu de travail en 2021, en %";"84,7";"90,9";"90,0";"83,7";"88,5";"79,0";"78,2";"82,9";"88,0";"89,0";"86,6";"81,8";"86,6";"89,6";"89,5";"86,5";
"Variation de l'emploi total au lieu de travail : taux annuel moyen entre 2015 et 2021, en %";"2,1";"4,6";"4,2";"0,8";"0,5";"-0,2";"-1,2";"0,4";"0,5";"0,7";"-1,1";"-1,9";"1,4";"-0,8";"2,4";"1,3";
"Taux d'activité des 15 à 64 ans en 2021";"61,1";"64,5";"53,9";"73,1";"71,7";"76,3";"76,4";"74,5";"69,8";"71,8";"69,5";"75,7";"65,9";"57,7";"53,4";"66,8";
"Taux de chômage des 15 à 64 ans en 2021";"19,3";"15,9";"20,3";"15,5";"14,5";"13,6";"9,7";"9,7";"11,0";"14,0";"13,7";"9,4";"17,0";"19,4";"21,4";"19,0";
"Sources : Insee, RP2015 et RP2021 exploitations principales en géographie au 01/01/2024";
"";
"Établissements";"Commune : Marseille 1er Arrondissement (13201)";"Commune : Marseille 2e Arrondissement (13202)";"Commune : Marseille 3e Arrondissement (13203)";"Commune : Marseille 4e Arrondissement (13204)";"Commune : Marseille 5e Arrondissement (13205)";"Commune : Marseille 6e Arrondissement (13206)";"Commune : Marseille 7e Arrondissement (13207)";"Commune : Marseille 8e Arrondissement (13208)";"Commune : Marseille 9e Arrondissement (13209)";"Commune : Marseille 10e Arrondissement (13210)";"Commune : Marseille 11e Arrondissement (13211)";"Commune : Marseille 12e Arrondissement (13212)";"Commune : Marseille 13e Arrondissement (13213)";"Commune : Marseille 14e Arrondissement (13214)";"Commune : Marseille 15e Arrondissement (13215)";"Commune : Marseille 16e Arrondissement (13216)";
"Nombre d'établissements actifs fin 2022";"3704";"2058";"1202";"1249";"1119";"3502";"1326";"3988";"1563";"1282";"1951";"1566";"1753";"1681";"2107";"1144";
"Part de l'agriculture, en %";"0,0";"0,0";"0,1";"0,1";"0,0";"0,1";"0,3";"0,2";"0,3";"0,0";"0,1";"0,4";"0,1";"0,1";"0,0";"0,4";
"Part de l'industrie, en %";"3,1";"4,0";"4,8";"3,7";"4,6";"3,2";"4,6";"2,7";"4,1";"5,4";"5,2";"3,6";"5,5";"6,0";"6,9";"5,4";
"Part de la construction, en %";"7,3";"5,2";"11,6";"11,0";"13,8";"5,5";"6,2";"8,9";"9,1";"15,9";"14,3";"12,6";"15,4";"18,6";"20,6";"11,1";
"Part du commerce, transports et services divers, en %";"82,9";"82,6";"68,1";"68,6";"67,7";"79,9";"77,9";"72,0";"66,0";"65,8";"68,5";"65,6";"61,0";"60,3";"61,9";"73,3";
"dont commerce et réparation automobile, en %";"25,4";"19,9";"19,6";"19,4";"16,4";"19,1";"16,4";"15,3";"16,0";"23,2";"27,0";"20,8";"17,3";"24,3";"22,3";"18,8";
"Part de l'administration publique, enseignement, santé et action sociale, en %";"6,7";"8,3";"15,3";"16,6";"13,9";"11,3";"11,0";"16,2";"20,5";"12,9";"11,9";"17,6";"18,1";"15,0";"10,6";"9,8";
"Part des établissements de 1 à 9 salariés, en %";"72,6";"64,4";"67,9";"75,7";"72,0";"75,8";"75,7";"73,6";"72,4";"69,4";"69,8";"75,4";"72,7";"67,3";"69,4";"66,2";
"Part des établissements de 10 salariés ou plus, en %";"12,8";"24,9";"17,6";"11,6";"12,7";"12,8";"11,6";"16,0";"16,9";"18,6";"20,1";"14,0";"16,5";"21,2";"17,7";"23,2";
"Champ : hors secteur de la défense et hors particuliers employeurs";
"Source : Insee, Flores (Fichier localisé des rémunérations et de l'emploi salarié) en géographie au 01/01/2024";
"Avertissement : Les données sur les zones de moins de 1000 salariés ne sont pas renseignées.";
